AgeGroup,Gender,Location,Employment,Income,Education,LegalIssue,LegalFrequency,UrgencyScore,FindLawyerMethod,MainDifficulty,TimeToFindLawyer,Satisfaction,AppInterest,PreferredConsultation,PayLikelihood,ConsultBudget,SubscriptionInterest,SubscriptionBudget,TrustFactor,AITrust,NPS
18-24,Male,Ulaanbaatar,Student,6M+,HighSchool,Criminal,Once,1,SocialMedia,Transparency,<1hr,2,Yes,Phone,1,10k-30k,Yes,50k-100k,SecurePayments,No,3
25-34,Male,Ulaanbaatar,Business Owner,6M+,HighSchool,Immigration,Yearly,2,OnlineSearch,TrustIssue,SameDay,3,Maybe,Chat,2,10k-30k,No,20k-50k,VerifiedLawyers,Maybe,5
25-34,Male,Other City,Student,2M-4M,Master,Business,SeveralPerYear,3,OnlineSearch,ComplexProcess,SameDay,1,Yes,Video,2,10k-30k,No,50k-100k,TransparentPricing,Maybe,0
18-24,Male,Rural,Business Owner,1M-2M,Bachelor,Criminal,Once,2,OnlineSearch,ComplexProcess,SameDay,4,Maybe,Chat,3,100k+,No,20k-50k,SecurePayments,Yes,10
18-24,Female,Ulaanbaatar,Employee,1M-2M,Bachelor,Business,Yearly,3,LawFirm,SlowResponse,<1hr,1,Maybe,Chat,1,10k-30k,Maybe,20k-50k,TransparentPricing,Yes,3
25-34,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Business,Once,1,LawFirm,Transparency,<1hr,3,Yes,Phone,5,30k-50k,Yes,20k-50k,GovPartnership,No,8
25-34,Female,Ulaanbaatar,Student,<1M,Master,Business,SeveralPerYear,2,PersonalContact,TrustIssue,Week+,4,Yes,Phone,3,50k-100k,Yes,20k-50k,SecurePayments,Maybe,9
25-34,Male,Ulaanbaatar,Employee,<1M,Bachelor,Divorce,Once,4,LawFirm,TrustIssue,SeveralDays,5,Yes,Chat,1,30k-50k,Yes,20k-50k,VerifiedLawyers,Yes,1
18-24,Male,Other City,Student,1M-2M,Bachelor,Divorce,FewYears,5,OnlineSearch,Transparency,<1hr,1,Yes,Phone,1,10k-30k,Yes,20k-50k,SecurePayments,Maybe,10
35-44,Male,Ulaanbaatar,Unemployed,4M-6M,Master,Property,Yearly,1,OnlineSearch,SlowResponse,SameDay,2,Yes,Video,1,30k-50k,Yes,100k+,GovPartnership,No,9
35-44,Female,Ulaanbaatar,Freelancer,1M-2M,HighSchool,Labor,FewYears,4,PersonalContact,HighCost,<1hr,2,Yes,InPerson,5,10k-30k,Maybe,<20k,TransparentPricing,Maybe,8
35-44,Male,Ulaanbaatar,Student,2M-4M,Doctorate,Divorce,Once,4,OnlineSearch,ComplexProcess,SameDay,3,Maybe,Phone,4,100k+,No,20k-50k,TransparentPricing,No,1
18-24,Female,Other City,Employee,4M-6M,Bachelor,Business,Yearly,4,LawFirm,Transparency,SameDay,2,Maybe,Chat,1,10k-30k,Yes,<20k,VerifiedLawyers,Yes,5
25-34,Female,Ulaanbaatar,Unemployed,4M-6M,Bachelor,Divorce,Yearly,5,LawFirm,Transparency,Week+,5,Yes,Chat,4,50k-100k,No,20k-50k,GovPartnership,No,8
25-34,Other,Other City,Student,1M-2M,HighSchool,Labor,Yearly,4,OnlineSearch,HighCost,SeveralDays,4,Yes,InPerson,1,50k-100k,Maybe,100k+,SecurePayments,Maybe,10
35-44,Female,Ulaanbaatar,Employee,1M-2M,Bachelor,Immigration,SeveralPerYear,1,PersonalContact,HighCost,<1hr,1,No,Phone,3,50k-100k,No,<20k,GovPartnership,Yes,8
45-54,Male,Ulaanbaatar,Employee,2M-4M,Bachelor,Labor,Once,2,LawFirm,Transparency,SameDay,3,No,Chat,2,30k-50k,Yes,50k-100k,TransparentPricing,Maybe,9
25-34,Male,Rural,Student,1M-2M,HighSchool,Labor,Once,5,PersonalContact,Transparency,Week+,4,Maybe,Phone,2,10k-30k,Maybe,20k-50k,Reviews,No,8
25-34,Female,Other City,Employee,<1M,Master,Divorce,Once,4,LawFirm,Transparency,SeveralDays,3,Yes,Chat,4,10k-30k,No,50k-100k,SecurePayments,No,10
35-44,Female,Ulaanbaatar,Business Owner,4M-6M,Bachelor,Labor,FewYears,2,OnlineSearch,SlowResponse,SameDay,4,Maybe,Video,1,30k-50k,Maybe,20k-50k,VerifiedLawyers,Yes,1
35-44,Female,Ulaanbaatar,Freelancer,2M-4M,Bachelor,Other,Once,5,LawFirm,ComplexProcess,SeveralDays,1,Maybe,Video,3,10k-30k,No,20k-50k,GovPartnership,No,0
25-34,Female,Ulaanbaatar,Employee,<1M,Bachelor,Criminal,Once,5,PersonalContact,TrustIssue,SameDay,4,Yes,Phone,4,10k-30k,Yes,<20k,VerifiedLawyers,Maybe,0
25-34,Male,Other City,Unemployed,2M-4M,Bachelor,Divorce,Once,1,LawFirm,HighCost,<1hr,4,Maybe,Chat,3,30k-50k,Yes,<20k,TransparentPricing,Maybe,2
18-24,Female,Ulaanbaatar,Employee,4M-6M,Bachelor,Divorce,Once,4,OnlineSearch,TrustIssue,SeveralDays,4,Maybe,Phone,1,10k-30k,Maybe,<20k,GovPartnership,Maybe,4
18-24,Male,Ulaanbaatar,Employee,<1M,Master,Divorce,Yearly,3,PersonalContact,SlowResponse,SameDay,3,Yes,Video,5,10k-30k,Yes,20k-50k,VerifiedLawyers,Yes,4
18-24,Female,Ulaanbaatar,Unemployed,1M-2M,Bachelor,Divorce,Once,5,LawFirm,Transparency,Week+,3,Yes,Phone,5,10k-30k,No,<20k,VerifiedLawyers,Yes,4
18-24,Female,Rural,Freelancer,1M-2M,HighSchool,Divorce,Yearly,3,LawFirm,SlowResponse,<1hr,3,Yes,Video,2,30k-50k,Yes,20k-50k,VerifiedLawyers,Maybe,7
45-54,Female,Ulaanbaatar,Unemployed,Unknown,Bachelor,Divorce,FewYears,3,LawFirm,ComplexProcess,Week+,3,Maybe,Chat,4,100k+,No,50k-100k,TransparentPricing,Maybe,8
25-34,Male,Ulaanbaatar,Employee,1M-2M,HighSchool,Criminal,FewYears,5,PersonalContact,HighCost,SeveralDays,4,Yes,Phone,4,10k-30k,Yes,20k-50k,GovPartnership,Yes,10
18-24,Male,Other City,Student,2M-4M,HighSchool,Property,Once,1,OnlineSearch,TrustIssue,SeveralDays,5,Yes,InPerson,3,50k-100k,Maybe,<20k,TransparentPricing,No,8
45-54,Male,Ulaanbaatar,Freelancer,<1M,Bachelor,Property,Yearly,1,PersonalContact,ComplexProcess,<1hr,3,Yes,Phone,5,50k-100k,Yes,<20k,TransparentPricing,No,6
18-24,Male,Ulaanbaatar,Business Owner,1M-2M,Doctorate,Other,FewYears,1,PersonalContact,SlowResponse,<1hr,2,No,InPerson,1,10k-30k,Maybe,50k-100k,SecurePayments,Maybe,10
18-24,Male,Ulaanbaatar,Unemployed,1M-2M,HighSchool,Business,Once,3,PersonalContact,HighCost,<1hr,4,Maybe,Chat,3,10k-30k,Maybe,100k+,GovPartnership,No,2
18-24,Male,Ulaanbaatar,Employee,<1M,Master,Business,FewYears,1,PersonalContact,ComplexProcess,<1hr,3,Yes,Chat,2,30k-50k,Maybe,100k+,SecurePayments,Yes,5
55+,Female,Ulaanbaatar,Business Owner,2M-4M,Bachelor,Property,SeveralPerYear,4,OnlineSearch,SlowResponse,Week+,2,Maybe,Chat,2,50k-100k,No,<20k,Reviews,Maybe,3
18-24,Male,Other City,Employee,4M-6M,Bachelor,Property,Once,1,PersonalContact,ComplexProcess,SeveralDays,3,Yes,Phone,3,Free,Yes,20k-50k,TransparentPricing,Yes,3
35-44,Female,Other City,Student,1M-2M,Bachelor,Property,Yearly,1,GovAid,ComplexProcess,SeveralDays,4,Yes,Phone,1,10k-30k,No,<20k,TransparentPricing,No,0
45-54,Female,Other City,Student,2M-4M,Bachelor,Labor,Yearly,2,PersonalContact,TrustIssue,SeveralDays,3,Maybe,Video,5,10k-30k,No,100k+,GovPartnership,No,8
35-44,Female,Ulaanbaatar,Student,6M+,Master,Other,FewYears,0,PersonalContact,Transparency,SeveralDays,1,Maybe,Phone,6,Free,Yes,100k+,SecurePayments,Yes,2
45-54,Male,Ulaanbaatar,Employee,2M-4M,Bachelor,Divorce,SeveralPerYear,3,PersonalContact,Transparency,Week+,3,No,Chat,1,10k-30k,Maybe,20k-50k,GovPartnership,Maybe,8
18-24,Female,Other City,Business Owner,1M-2M,Bachelor,Labor,Yearly,3,OnlineSearch,HighCost,SameDay,5,Yes,Chat,3,50k-100k,Maybe,20k-50k,GovPartnership,Maybe,8
35-44,Female,Ulaanbaatar,Unemployed,4M-6M,Bachelor,Labor,Once,2,SocialMedia,HighCost,SameDay,4,Maybe,InPerson,1,50k-100k,Maybe,50k-100k,TransparentPricing,Maybe,8
35-44,Male,Ulaanbaatar,Student,1M-2M,HighSchool,Other,FewYears,2,OnlineSearch,ComplexProcess,Week+,4,Yes,Phone,2,10k-30k,Yes,20k-50k,SecurePayments,Maybe,10
25-34,Male,Ulaanbaatar,Freelancer,2M-4M,Master,Criminal,Once,4,SocialMedia,HighCost,SeveralDays,3,Maybe,InPerson,5,Free,Maybe,20k-50k,SecurePayments,No,9
45-54,Male,Rural,Employee,<1M,HighSchool,Divorce,Yearly,2,LawFirm,ComplexProcess,SeveralDays,1,Yes,Chat,4,30k-50k,Maybe,20k-50k,GovPartnership,Yes,4
35-44,Female,Other City,Employee,1M-2M,Bachelor,Business,Yearly,1,GovAid,HighCost,SeveralDays,5,No,Phone,5,100k+,Maybe,20k-50k,Reviews,Maybe,6
45-54,Female,Ulaanbaatar,Employee,1M-2M,Bachelor,Labor,Once,1,LawFirm,TrustIssue,Week+,1,Yes,Phone,2,Free,Maybe,20k-50k,GovPartnership,Maybe,4
35-44,Female,Other City,Business Owner,1M-2M,Bachelor,Divorce,Yearly,1,PersonalContact,SlowResponse,<1hr,1,Yes,Chat,1,10k-30k,Maybe,<20k,Reviews,Maybe,10
25-34,Female,Ulaanbaatar,Student,1M-2M,Bachelor,Divorce,Once,4,OnlineSearch,Transparency,SeveralDays,2,No,Chat,1,50k-100k,Yes,50k-100k,SecurePayments,No,4
25-34,Female,Other City,Employee,Unknown,Bachelor,Other,Yearly,1,GovAid,SlowResponse,<1hr,4,Yes,Phone,2,10k-30k,Yes,100k+,TransparentPricing,No,0
25-34,Male,Other City,Employee,4M-6M,Bachelor,Divorce,Once,2,PersonalContact,TrustIssue,Week+,4,Yes,Chat,1,10k-30k,Maybe,<20k,TransparentPricing,Yes,9
18-24,Female,Other City,Employee,1M-2M,Master,Divorce,Once,3,PersonalContact,ComplexProcess,SeveralDays,4,Maybe,Video,3,Free,No,20k-50k,Reviews,Yes,0
25-34,Female,Ulaanbaatar,Freelancer,1M-2M,Master,Property,Once,4,SocialMedia,HighCost,<1hr,2,Yes,Chat,1,10k-30k,Yes,100k+,Reviews,Maybe,3
25-34,Female,Other City,Employee,6M+,Bachelor,Business,Once,1,SocialMedia,TrustIssue,SameDay,1,Maybe,Phone,5,30k-50k,Maybe,100k+,Reviews,Yes,4
18-24,Female,Other City,Student,2M-4M,HighSchool,Other,Once,5,SocialMedia,SlowResponse,SeveralDays,1,Maybe,Chat,4,30k-50k,No,<20k,GovPartnership,Yes,0
18-24,Male,Ulaanbaatar,Employee,2M-4M,HighSchool,Business,FewYears,1,PersonalContact,HighCost,SeveralDays,3,Maybe,Chat,5,10k-30k,Yes,<20k,GovPartnership,Yes,2
25-34,Male,Ulaanbaatar,Employee,<1M,HighSchool,Business,FewYears,3,OnlineSearch,SlowResponse,SeveralDays,3,Yes,Video,5,30k-50k,No,<20k,VerifiedLawyers,Maybe,1
18-24,Male,Ulaanbaatar,Student,<1M,Master,Property,FewYears,3,SocialMedia,ComplexProcess,<1hr,5,Maybe,Chat,1,10k-30k,Maybe,20k-50k,SecurePayments,Maybe,7
55+,Male,Rural,Student,<1M,Master,Criminal,Once,1,LawFirm,ComplexProcess,Week+,4,Yes,Chat,5,100k+,No,100k+,Reviews,Maybe,4
25-34,Female,Ulaanbaatar,Employee,4M-6M,Doctorate,Other,Once,5,OnlineSearch,HighCost,SeveralDays,3,Maybe,Video,2,10k-30k,Yes,50k-100k,SecurePayments,Yes,7
25-34,Male,Rural,Employee,2M-4M,Bachelor,Divorce,FewYears,4,OnlineSearch,SlowResponse,SameDay,4,Yes,InPerson,3,30k-50k,Maybe,<20k,TransparentPricing,Yes,0
18-24,Female,Ulaanbaatar,Employee,2M-4M,HighSchool,Divorce,FewYears,4,PersonalContact,HighCost,SeveralDays,4,Maybe,InPerson,2,30k-50k,Maybe,20k-50k,TransparentPricing,Maybe,4
25-34,Female,Ulaanbaatar,Business Owner,4M-6M,Master,Divorce,Once,1,SocialMedia,TrustIssue,Week+,2,Yes,Chat,5,50k-100k,No,<20k,Reviews,Yes,2
18-24,Male,Ulaanbaatar,Freelancer,4M-6M,HighSchool,Business,FewYears,2,OnlineSearch,HighCost,SeveralDays,5,Maybe,Video,5,Free,Maybe,<20k,GovPartnership,No,8
18-24,Female,Ulaanbaatar,Student,2M-4M,Bachelor,Business,SeveralPerYear,3,PersonalContact,ComplexProcess,SameDay,2,Maybe,InPerson,4,10k-30k,No,<20k,GovPartnership,No,5
25-34,Male,Ulaanbaatar,Employee,6M+,Bachelor,Labor,FewYears,5,OnlineSearch,Transparency,SameDay,5,Yes,Chat,2,10k-30k,Maybe,20k-50k,Reviews,Maybe,9
35-44,Male,Ulaanbaatar,Employee,6M+,Master,Property,Once,2,LawFirm,ComplexProcess,Week+,5,Yes,Video,5,100k+,Yes,20k-50k,Reviews,Yes,3
25-34,Male,Ulaanbaatar,Employee,1M-2M,Bachelor,Business,FewYears,2,PersonalContact,HighCost,SameDay,2,Yes,Chat,1,30k-50k,Yes,20k-50k,GovPartnership,Yes,5
18-24,Female,Other City,Student,1M-2M,HighSchool,Criminal,Once,3,LawFirm,TrustIssue,<1hr,5,Yes,Phone,3,10k-30k,No,<20k,GovPartnership,No,3
18-24,Female,Other City,Student,1M-2M,Master,Other,Once,3,PersonalContact,SlowResponse,<1hr,5,Yes,Phone,3,10k-30k,Yes,<20k,VerifiedLawyers,Maybe,9
35-44,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Labor,Once,5,PersonalContact,ComplexProcess,SameDay,2,Maybe,Chat,4,30k-50k,Yes,100k+,SecurePayments,Maybe,7
35-44,Female,Other City,Unemployed,1M-2M,Doctorate,Divorce,SeveralPerYear,2,PersonalContact,SlowResponse,SeveralDays,1,Maybe,Chat,4,Free,Yes,20k-50k,VerifiedLawyers,Maybe,10
35-44,Male,Ulaanbaatar,Business Owner,<1M,Bachelor,Divorce,Once,1,OnlineSearch,Transparency,SeveralDays,1,Yes,Chat,1,10k-30k,Yes,100k+,GovPartnership,No,8
25-34,Female,Ulaanbaatar,Unemployed,<1M,Bachelor,Divorce,FewYears,1,GovAid,SlowResponse,<1hr,5,No,InPerson,5,10k-30k,Yes,<20k,SecurePayments,Yes,5
25-34,Male,Ulaanbaatar,Unemployed,2M-4M,HighSchool,Business,Yearly,4,PersonalContact,SlowResponse,<1hr,2,Maybe,Video,4,50k-100k,Yes,20k-50k,VerifiedLawyers,Maybe,5
35-44,Female,Ulaanbaatar,Employee,1M-2M,HighSchool,Property,Once,3,SocialMedia,Transparency,SeveralDays,4,Maybe,InPerson,2,10k-30k,Yes,50k-100k,VerifiedLawyers,No,3
25-34,Female,Ulaanbaatar,Business Owner,6M+,Bachelor,Labor,SeveralPerYear,2,PersonalContact,ComplexProcess,SeveralDays,1,Maybe,Video,3,50k-100k,No,50k-100k,TransparentPricing,Yes,3
35-44,Female,Ulaanbaatar,Freelancer,<1M,Bachelor,Divorce,SeveralPerYear,1,OnlineSearch,TrustIssue,SeveralDays,3,No,InPerson,1,10k-30k,No,100k+,SecurePayments,Yes,1
25-34,Female,Rural,Employee,<1M,Bachelor,Criminal,Yearly,2,PersonalContact,SlowResponse,SameDay,2,No,Video,4,10k-30k,No,20k-50k,TransparentPricing,Yes,10
25-34,Male,Ulaanbaatar,Employee,2M-4M,Bachelor,Property,SeveralPerYear,5,OnlineSearch,HighCost,SeveralDays,5,Maybe,Chat,2,50k-100k,Maybe,<20k,TransparentPricing,No,0
18-24,Female,Ulaanbaatar,Unemployed,<1M,HighSchool,Business,Once,5,OnlineSearch,HighCost,Week+,5,Yes,Chat,5,50k-100k,Maybe,20k-50k,SecurePayments,Maybe,2
18-24,Female,Ulaanbaatar,Student,2M-4M,Bachelor,Other,Once,5,PersonalContact,SlowResponse,SameDay,2,Yes,Video,3,Free,Yes,20k-50k,TransparentPricing,Maybe,8
45-54,Male,Ulaanbaatar,Employee,<1M,Bachelor,Property,Once,2,OnlineSearch,HighCost,<1hr,5,Yes,Phone,3,10k-30k,Yes,50k-100k,TransparentPricing,Yes,4
25-34,Female,Ulaanbaatar,Unemployed,1M-2M,Bachelor,Divorce,Yearly,4,OnlineSearch,SlowResponse,SeveralDays,2,No,Video,4,10k-30k,Maybe,<20k,TransparentPricing,No,9
55+,Male,Ulaanbaatar,Student,6M+,HighSchool,Immigration,Once,1,LawFirm,HighCost,<1hr,3,Yes,Chat,4,30k-50k,Yes,20k-50k,VerifiedLawyers,Maybe,4
25-34,Female,Ulaanbaatar,Student,1M-2M,Bachelor,Labor,Yearly,1,OnlineSearch,TrustIssue,SameDay,2,Maybe,Chat,5,50k-100k,Maybe,50k-100k,Reviews,Yes,6
18-24,Male,Other City,Employee,<1M,Bachelor,Immigration,Once,2,LawFirm,ComplexProcess,SameDay,1,Maybe,Chat,5,10k-30k,No,50k-100k,GovPartnership,No,4
25-34,Female,Other City,Student,1M-2M,Bachelor,Property,Once,3,SocialMedia,SlowResponse,Week+,2,Yes,Phone,2,10k-30k,Maybe,20k-50k,TransparentPricing,Yes,9
25-34,Male,Ulaanbaatar,Employee,1M-2M,HighSchool,Business,Yearly,1,PersonalContact,TrustIssue,SeveralDays,2,Maybe,Video,4,Free,Maybe,<20k,SecurePayments,Yes,9
25-34,Female,Rural,Employee,<1M,Bachelor,Business,Once,1,LawFirm,ComplexProcess,SeveralDays,5,Yes,Chat,5,50k-100k,Maybe,20k-50k,GovPartnership,No,7
18-24,Male,Rural,Freelancer,1M-2M,Bachelor,Business,Yearly,5,LawFirm,Transparency,<1hr,4,Yes,Video,3,50k-100k,Yes,50k-100k,TransparentPricing,Maybe,1
35-44,Female,Ulaanbaatar,Unemployed,Unknown,Bachelor,Property,Yearly,5,LawFirm,TrustIssue,SameDay,4,No,Video,3,30k-50k,Yes,<20k,VerifiedLawyers,Maybe,1
25-34,Male,Other City,Student,<1M,Bachelor,Criminal,Once,1,OnlineSearch,SlowResponse,<1hr,1,Yes,Phone,5,10k-30k,Yes,100k+,GovPartnership,Yes,8
25-34,Female,Ulaanbaatar,Employee,<1M,HighSchool,Business,Yearly,3,PersonalContact,SlowResponse,SameDay,4,Yes,InPerson,2,10k-30k,Maybe,20k-50k,SecurePayments,Maybe,3
25-34,Male,Other City,Freelancer,<1M,HighSchool,Other,SeveralPerYear,2,OnlineSearch,TrustIssue,SeveralDays,2,Maybe,Phone,2,Free,No,50k-100k,Reviews,Maybe,3
25-34,Female,Ulaanbaatar,Business Owner,<1M,Doctorate,Divorce,Once,3,PersonalContact,SlowResponse,Week+,2,No,Video,3,10k-30k,Yes,20k-50k,TransparentPricing,Maybe,10
25-34,Male,Ulaanbaatar,Student,Unknown,HighSchool,Divorce,Once,4,PersonalContact,ComplexProcess,SeveralDays,4,No,Video,5,50k-100k,No,50k-100k,VerifiedLawyers,Maybe,5
25-34,Female,Ulaanbaatar,Employee,2M-4M,HighSchool,Labor,Yearly,4,SocialMedia,Transparency,SameDay,2,Maybe,Chat,4,50k-100k,Yes,20k-50k,VerifiedLawyers,No,10
25-34,Female,Other City,Student,1M-2M,Bachelor,Divorce,FewYears,5,PersonalContact,ComplexProcess,SeveralDays,1,Yes,InPerson,3,50k-100k,Yes,100k+,Reviews,Maybe,3
25-34,Male,Ulaanbaatar,Unemployed,1M-2M,Bachelor,Business,SeveralPerYear,2,LawFirm,HighCost,SameDay,4,Yes,Video,5,30k-50k,Maybe,20k-50k,VerifiedLawyers,Yes,7
25-34,Male,Ulaanbaatar,Unemployed,1M-2M,Master,Business,Once,3,LawFirm,SlowResponse,<1hr,3,Yes,Video,1,30k-50k,Yes,20k-50k,GovPartnership,No,3
25-34,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Business,FewYears,1,PersonalContact,HighCost,SeveralDays,4,No,Chat,3,30k-50k,Maybe,20k-50k,GovPartnership,Yes,8
18-24,Female,Ulaanbaatar,Employee,2M-4M,Bachelor,Labor,Once,3,OnlineSearch,HighCost,<1hr,5,Maybe,Chat,4,30k-50k,Yes,20k-50k,GovPartnership,Yes,8
25-34,Female,Ulaanbaatar,Student,6M+,Bachelor,Business,Once,2,OnlineSearch,TrustIssue,<1hr,2,Yes,Chat,1,10k-30k,Yes,50k-100k,VerifiedLawyers,Maybe,7
25-34,Female,Rural,Business Owner,6M+,Bachelor,Divorce,FewYears,1,PersonalContact,SlowResponse,SameDay,3,Yes,Video,2,30k-50k,Yes,50k-100k,VerifiedLawyers,Maybe,6
18-24,Male,Ulaanbaatar,Freelancer,<1M,HighSchool,Property,Yearly,5,LawFirm,TrustIssue,SeveralDays,3,Yes,InPerson,1,50k-100k,Maybe,<20k,GovPartnership,Maybe,7
25-34,Male,Ulaanbaatar,Employee,2M-4M,Bachelor,Labor,Once,1,PersonalContact,ComplexProcess,<1hr,1,Maybe,Video,1,10k-30k,Maybe,100k+,TransparentPricing,Yes,0
18-24,Female,Rural,Employee,<1M,Master,Divorce,Once,5,LawFirm,SlowResponse,SameDay,2,Yes,Chat,4,50k-100k,Maybe,20k-50k,Reviews,No,7
25-34,Male,Ulaanbaatar,Student,1M-2M,Bachelor,Business,Once,1,PersonalContact,TrustIssue,<1hr,2,No,Phone,2,30k-50k,Maybe,<20k,VerifiedLawyers,Yes,7
35-44,Female,Other City,Unemployed,2M-4M,HighSchool,Other,Once,4,GovAid,HighCost,<1hr,2,Yes,Video,4,10k-30k,No,50k-100k,GovPartnership,Yes,4
25-34,Female,Ulaanbaatar,Student,1M-2M,Bachelor,Other,FewYears,3,LawFirm,TrustIssue,SeveralDays,1,Yes,Chat,1,10k-30k,No,<20k,VerifiedLawyers,Maybe,8
25-34,Female,Other City,Business Owner,2M-4M,HighSchool,Labor,FewYears,5,PersonalContact,HighCost,Week+,1,Yes,Chat,3,100k+,Maybe,20k-50k,Reviews,Maybe,0
18-24,Female,Ulaanbaatar,Business Owner,2M-4M,Bachelor,Immigration,Once,3,LawFirm,HighCost,Week+,1,Yes,Phone,1,100k+,Maybe,20k-50k,VerifiedLawyers,No,0
18-24,Female,Ulaanbaatar,Business Owner,2M-4M,Bachelor,Divorce,Once,3,LawFirm,SlowResponse,SeveralDays,4,Maybe,Video,3,30k-50k,Maybe,50k-100k,Reviews,No,4
25-34,Female,Ulaanbaatar,Business Owner,<1M,HighSchool,Divorce,FewYears,5,PersonalContact,TrustIssue,<1hr,5,Maybe,Video,3,100k+,No,50k-100k,SecurePayments,Maybe,1
18-24,Female,Rural,Unemployed,1M-2M,Master,Divorce,Yearly,4,OnlineSearch,SlowResponse,SeveralDays,5,Yes,Video,3,10k-30k,Maybe,100k+,VerifiedLawyers,No,6
18-24,Male,Rural,Employee,2M-4M,Master,Property,FewYears,3,PersonalContact,ComplexProcess,<1hr,2,Yes,Chat,4,50k-100k,Maybe,100k+,TransparentPricing,Maybe,4
18-24,Male,Ulaanbaatar,Student,6M+,HighSchool,Property,Once,5,GovAid,ComplexProcess,SameDay,1,Yes,Chat,2,10k-30k,Maybe,20k-50k,SecurePayments,No,1
55+,Male,Ulaanbaatar,Student,2M-4M,Bachelor,Criminal,Once,1,SocialMedia,SlowResponse,SameDay,3,Maybe,InPerson,1,10k-30k,No,20k-50k,Reviews,Yes,5
18-24,Male,Other City,Student,<1M,Bachelor,Other,FewYears,0,LawFirm,SlowResponse,<1hr,1,Maybe,Chat,0,50k-100k,No,20k-50k,SecurePayments,Yes,5
25-34,Male,Ulaanbaatar,Employee,<1M,Master,Divorce,Once,5,OnlineSearch,SlowResponse,Week+,4,No,Phone,5,10k-30k,Yes,50k-100k,VerifiedLawyers,Yes,5
18-24,Female,Rural,Student,<1M,Master,Divorce,Once,4,LawFirm,TrustIssue,SeveralDays,5,Yes,Video,5,10k-30k,No,20k-50k,GovPartnership,Yes,0
25-34,Male,Ulaanbaatar,Freelancer,1M-2M,Bachelor,Other,Yearly,4,PersonalContact,SlowResponse,SameDay,2,Yes,InPerson,1,10k-30k,No,20k-50k,Reviews,Maybe,0
18-24,Female,Ulaanbaatar,Employee,6M+,Bachelor,Divorce,SeveralPerYear,4,PersonalContact,HighCost,SeveralDays,1,No,Chat,1,10k-30k,Yes,<20k,SecurePayments,Maybe,3
25-34,Male,Other City,Freelancer,4M-6M,Bachelor,Business,Once,5,PersonalContact,HighCost,Week+,1,Yes,Phone,3,10k-30k,Maybe,<20k,Reviews,No,1
18-24,Female,Ulaanbaatar,Employee,<1M,Bachelor,Criminal,Once,2,PersonalContact,Transparency,<1hr,4,Yes,Video,1,30k-50k,Yes,<20k,SecurePayments,Yes,8
35-44,Female,Ulaanbaatar,Unemployed,2M-4M,HighSchool,Labor,SeveralPerYear,3,PersonalContact,ComplexProcess,SameDay,5,Yes,Chat,5,10k-30k,Maybe,<20k,SecurePayments,Yes,9
25-34,Male,Ulaanbaatar,Freelancer,1M-2M,HighSchool,Business,FewYears,2,PersonalContact,SlowResponse,SameDay,4,Maybe,Video,4,10k-30k,Yes,50k-100k,GovPartnership,No,8
18-24,Female,Rural,Employee,1M-2M,Master,Divorce,Once,1,LawFirm,Transparency,SeveralDays,2,No,Video,3,10k-30k,Yes,20k-50k,VerifiedLawyers,Yes,1
18-24,Male,Ulaanbaatar,Business Owner,1M-2M,Doctorate,Business,Once,1,OnlineSearch,SlowResponse,SeveralDays,3,No,Phone,5,10k-30k,Maybe,20k-50k,Reviews,Yes,6
18-24,Female,Ulaanbaatar,Freelancer,6M+,Master,Other,SeveralPerYear,4,PersonalContact,Transparency,SeveralDays,4,Yes,Phone,3,10k-30k,Yes,<20k,VerifiedLawyers,Yes,2
25-34,Female,Ulaanbaatar,Employee,<1M,HighSchool,Divorce,FewYears,2,SocialMedia,SlowResponse,SeveralDays,3,Yes,Video,5,10k-30k,Yes,20k-50k,TransparentPricing,No,10
18-24,Male,Other City,Business Owner,1M-2M,Master,Other,FewYears,3,LawFirm,SlowResponse,SeveralDays,5,Yes,Video,1,30k-50k,Yes,50k-100k,GovPartnership,Yes,8
25-34,Female,Ulaanbaatar,Student,4M-6M,HighSchool,Immigration,Yearly,4,LawFirm,Transparency,SeveralDays,5,Yes,Chat,4,10k-30k,No,<20k,VerifiedLawyers,Maybe,10
25-34,Male,Ulaanbaatar,Employee,<1M,HighSchool,Divorce,Once,5,SocialMedia,TrustIssue,SeveralDays,2,No,InPerson,4,30k-50k,Maybe,<20k,Reviews,Yes,1
18-24,Female,Ulaanbaatar,Business Owner,2M-4M,Bachelor,Immigration,Once,4,OnlineSearch,TrustIssue,SeveralDays,1,Maybe,Chat,5,10k-30k,Maybe,<20k,TransparentPricing,Maybe,8
18-24,Female,Ulaanbaatar,Employee,<1M,HighSchool,Business,Once,3,SocialMedia,SlowResponse,SameDay,3,Maybe,InPerson,5,10k-30k,Maybe,50k-100k,TransparentPricing,Maybe,2
25-34,Male,Other City,Employee,2M-4M,Doctorate,Business,Once,2,SocialMedia,Transparency,<1hr,4,No,Video,2,10k-30k,Yes,20k-50k,TransparentPricing,Yes,2
